scenario,role,endpoint,concurrency,maxRequests,successRate,errorRate,throughput,latencyAvgMs,latencyP95Ms,latencyP99Ms,completed,failed,statusCounts
Beban Rendah,siswa,/api/dashboard/siswa,1,30,100.00,0.00,5.70,125.37,4.70,3702.50,30,0,200=30
Beban Rendah,guru,/api/guru/dashboard/profil,1,30,100.00,0.00,58.82,5.48,2.66,127.49,30,0,200=30
Beban Rendah,admin,/api/admin/dashboard,1,30,100.00,0.00,29.07,22.93,1.88,653.92,30,0,200=30
Beban Rendah,kantin,/api/kantin/dashboard,1,30,100.00,0.00,13.08,64.79,1.81,1911.78,30,0,200=30
Beban Sedang,siswa,/api/dashboard/siswa,5,50,100.00,0.00,95.06,1.47,2.35,3.31,50,0,200=50
Beban Sedang,guru,/api/guru/dashboard/profil,5,50,100.00,0.00,129.87,1.92,2.67,3.96,50,0,200=50
Beban Sedang,admin,/api/admin/dashboard,5,50,100.00,0.00,129.53,1.87,2.79,5.29,50,0,200=50
Beban Sedang,kantin,/api/kantin/dashboard,5,50,100.00,0.00,134.05,2.23,2.92,5.02,50,0,200=50
Beban Tinggi,siswa,/api/dashboard/siswa,10,100,100.00,0.00,160.00,2.62,3.76,4.18,100,0,200=100
Beban Tinggi,guru,/api/guru/dashboard/profil,10,100,100.00,0.00,209.64,3.10,5.15,6.82,100,0,200=100
Beban Tinggi,admin,/api/admin/dashboard,10,100,100.00,0.00,233.10,1.87,2.66,2.97,100,0,200=100
Beban Tinggi,kantin,/api/kantin/dashboard,10,100,100.00,0.00,236.41,2.18,3.53,4.22,100,0,200=100
Beban Sangat Tinggi,siswa,/api/dashboard/siswa,20,200,100.00,0.00,315.46,7.58,11.22,13.45,200,0,200=200
Beban Sangat Tinggi,guru,/api/guru/dashboard/profil,20,200,100.00,0.00,367.65,2.79,5.53,6.14,200,0,200=200
Beban Sangat Tinggi,admin,/api/admin/dashboard,20,200,100.00,0.00,376.65,5.46,8.24,9.26,200,0,200=200
Beban Sangat Tinggi,kantin,/api/kantin/dashboard,20,200,100.00,0.00,386.85,5.41,8.58,9.14,200,0,200=200
