scenario,role,endpoint,concurrency,maxRequests,successRate,errorRate,throughput,latencyAvgMs,latencyP95Ms,latencyP99Ms,completed,failed,statusCounts
Beban Rendah,siswa,/api/dashboard/siswa,1,30,100.00,0.00,4.15,189.72,14.12,5641.19,30,0,200=30
Beban Rendah,guru,/api/guru/dashboard/profil,1,30,100.00,0.00,59.88,6.69,2.63,165.48,30,0,200=30
Beban Rendah,admin,/api/admin/dashboard,1,30,100.00,0.00,26.93,27.28,2.10,783.88,30,0,200=30
Beban Rendah,kantin,/api/kantin/dashboard,1,30,100.00,0.00,18.65,43.18,8.27,1249.20,30,0,200=30
Beban Sedang,siswa,/api/dashboard/siswa,5,50,100.00,0.00,48.26,1.19,2.06,3.04,50,0,200=50
Beban Sedang,guru,/api/guru/dashboard/profil,5,50,100.00,0.00,133.33,1.25,2.03,5.01,50,0,200=50
Beban Sedang,admin,/api/admin/dashboard,5,50,100.00,0.00,84.46,2.17,5.86,6.15,50,0,200=50
Beban Sedang,kantin,/api/kantin/dashboard,5,50,100.00,0.00,109.41,1.32,2.37,2.88,50,0,200=50
Beban Tinggi,siswa,/api/dashboard/siswa,10,100,100.00,0.00,149.48,1.97,3.27,3.59,100,0,200=100
Beban Tinggi,guru,/api/guru/dashboard/profil,10,100,100.00,0.00,206.61,1.74,3.00,3.42,100,0,200=100
Beban Tinggi,admin,/api/admin/dashboard,10,100,100.00,0.00,246.31,1.06,1.76,2.49,100,0,200=100
Beban Tinggi,kantin,/api/kantin/dashboard,10,100,100.00,0.00,250.63,1.41,2.22,2.43,100,0,200=100
Beban Sangat Tinggi,siswa,/api/dashboard/siswa,50,1000,100.00,0.00,114.25,42.76,45.76,53.71,1000,0,200=1000
Beban Sangat Tinggi,guru,/api/guru/dashboard/profil,50,1000,100.00,0.00,881.83,15.23,19.31,20.15,1000,0,200=1000
Beban Sangat Tinggi,admin,/api/admin/dashboard,50,1000,100.00,0.00,717.36,34.58,40.53,399.11,1000,0,200=1000
Beban Sangat Tinggi,kantin,/api/kantin/dashboard,50,1000,100.00,0.00,438.60,77.71,45.01,1178.51,1000,0,200=1000
Beban Ekstrem,siswa,/api/dashboard/siswa,100,2000,100.00,0.00,825.08,51.24,90.43,95.18,2000,0,200=2000
Beban Ekstrem,guru,/api/guru/dashboard/profil,100,2000,100.00,0.00,1239.16,17.62,35.58,39.05,2000,0,200=2000
Beban Ekstrem,admin,/api/admin/dashboard,100,2000,100.00,0.00,1184.13,24.59,38.44,39.32,2000,0,200=2000
Beban Ekstrem,kantin,/api/kantin/dashboard,100,2000,100.00,0.00,1261.83,9.45,32.53,40.72,2000,0,200=2000
