scenario,role,endpoint,concurrency,maxRequests,successRate,errorRate,throughput,latencyAvgMs,latencyP95Ms,latencyP99Ms,completed,failed,statusCounts
Beban Rendah,siswa,/api/dashboard/siswa,1,30,100.00,0.00,0.26,3672.14,3865.16,3865.16,6,0,200=6
Beban Rendah,guru,/api/guru/dashboard/profil,1,30,0.00,100.00,2.76,0.00,0.00,0.00,0,30,
Beban Rendah,admin,/api/admin/dashboard,1,30,0.00,100.00,2.82,0.00,0.00,0.00,0,30,
Beban Rendah,kantin,/api/kantin/dashboard,1,30,0.00,100.00,2.77,0.00,0.00,0.00,0,30,
Beban Sedang,siswa,/api/dashboard/siswa,5,50,100.00,0.00,1.32,3629.43,4067.85,4254.19,30,0,200=30
Beban Sedang,guru,/api/guru/dashboard/profil,5,50,0.00,100.00,14.08,0.00,0.00,0.00,0,50,
Beban Sedang,admin,/api/admin/dashboard,5,50,0.00,100.00,13.51,0.00,0.00,0.00,0,50,
Beban Sedang,kantin,/api/kantin/dashboard,5,50,0.00,100.00,13.93,0.00,0.00,0.00,0,50,
Beban Tinggi,siswa,/api/dashboard/siswa,10,100,100.00,0.00,2.65,3530.62,3748.11,4242.99,60,0,200=60
Beban Tinggi,guru,/api/guru/dashboard/profil,10,100,0.00,100.00,29.22,0.00,0.00,0.00,0,100,
Beban Tinggi,admin,/api/admin/dashboard,10,100,0.00,100.00,29.52,0.00,0.00,0.00,0,100,
Beban Tinggi,kantin,/api/kantin/dashboard,10,100,0.00,100.00,29.22,0.00,0.00,0.00,0,100,
Beban Sangat Tinggi,siswa,/api/dashboard/siswa,20,200,100.00,0.00,5.35,3518.42,4068.99,4325.01,120,0,200=120
Beban Sangat Tinggi,guru,/api/guru/dashboard/profil,20,200,0.00,100.00,56.59,0.00,0.00,0.00,0,200,
Beban Sangat Tinggi,admin,/api/admin/dashboard,20,200,0.00,100.00,56.56,0.00,0.00,0.00,0,200,
Beban Sangat Tinggi,kantin,/api/kantin/dashboard,20,200,0.00,100.00,56.69,0.00,0.00,0.00,0,200,
