scenario,role,endpoint,concurrency,maxRequests,successRate,errorRate,throughput,latencyAvgMs,latencyP95Ms,latencyP99Ms,completed,failed,statusCounts
Beban Rendah,siswa,/api/dashboard/siswa,1,30,100.00,0.00,5.35,128.56,7.43,3793.64,30,0,200=30
Beban Rendah,guru,/api/guru/dashboard/profil,1,30,100.00,0.00,58.71,5.54,2.02,127.15,30,0,200=30
Beban Rendah,admin,/api/admin/dashboard,1,30,100.00,0.00,25.40,27.76,3.30,776.68,30,0,200=30
Beban Rendah,kantin,/api/kantin/dashboard,1,30,100.00,0.00,15.92,49.96,3.78,1452.88,30,0,200=30
Beban Sedang,siswa,/api/dashboard/siswa,5,50,100.00,0.00,79.37,1.74,2.39,5.55,50,0,200=50
Beban Sedang,guru,/api/guru/dashboard/profil,5,50,100.00,0.00,120.19,3.04,4.30,7.36,50,0,200=50
Beban Sedang,admin,/api/admin/dashboard,5,50,100.00,0.00,122.85,2.36,3.20,6.88,50,0,200=50
Beban Sedang,kantin,/api/kantin/dashboard,5,50,100.00,0.00,129.20,2.60,3.42,4.27,50,0,200=50
Beban Tinggi,siswa,/api/dashboard/siswa,10,100,100.00,0.00,145.99,6.03,13.98,34.37,100,0,200=100
Beban Tinggi,guru,/api/guru/dashboard/profil,10,100,100.00,0.00,202.84,4.27,8.66,8.82,100,0,200=100
Beban Tinggi,admin,/api/admin/dashboard,10,100,100.00,0.00,224.72,2.53,3.55,4.06,100,0,200=100
Beban Tinggi,kantin,/api/kantin/dashboard,10,100,100.00,0.00,221.24,2.63,3.92,4.33,100,0,200=100
Beban Sangat Tinggi,siswa,/api/dashboard/siswa,20,200,100.00,0.00,250.63,11.86,15.87,20.07,200,0,200=200
Beban Sangat Tinggi,guru,/api/guru/dashboard/profil,20,200,100.00,0.00,314.96,6.52,10.53,14.34,200,0,200=200
Beban Sangat Tinggi,admin,/api/admin/dashboard,20,200,100.00,0.00,344.83,6.29,9.40,10.52,200,0,200=200
Beban Sangat Tinggi,kantin,/api/kantin/dashboard,20,200,100.00,0.00,353.98,7.40,10.39,11.78,200,0,200=200
